Type,TY,A2,A3,A4,AB,AD,AN,AU,C1,C2,C3,C4,C5,C6,C7,C8,CA,CN,CT,CY,DA,DB,DO,DP,ET,IS,J2,KW,L1,L4,LA,LB,M1,M2,M3,N1,NV,OP,PB,PY,RI,RN,RP,SE,SN,SP,ST,SV,T2,T3,TA,TI,TT,UR,VL,Y2
ABST,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,legal_note,pmcid,N/A,N/A,N/A,nihmsid,article_no,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,epub_date,issue,journal_alt,keywords,file_attm,figure,language,label,N/A,page_start,type,notes,N/A,original_publ,N/A,year,reviewed_item,research_notes,reprint_edition,N/A,issn,pages,title_short,N/A,journal,N/A,author_translated,title,title_translated,url,volume,date_accessed
ADVS,@type,performers,series_editor,N/A,abstract,author_addr,accession_no,author,cast,credits,size_or_length,N/A,format,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,number,N/A,type,notes,extent_of_work,content,publisher,year,N/A,research_notes,N/A,N/A,isbn,N/A,title_short,N/A,N/A,series_title,author_translated,title,title_translated,url,volume,date_accessed
AGGR,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,N/A,N/A,city,date_accessed,db_name,doi,db_provider,date_published,N/A,title_alt,keywords,file_attm,figure,language,label,publication_no,N/A,type,notes,N/A,original_publ,publisher,year,N/A,research_notes,N/A,screens,isbn_issn,pages,title_short,N/A,periodical,N/A,author_translated,title,title_translated,url,volume,N/A
ANCIENT,@type,editor,N/A,translator,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,publication_abbr,keywords,file_attm,figure,language,label,text_no,N/A,type,notes,volumes_count,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,N/A,isbn,pages,title_short,N/A,publication_title,volume_title,author_translated,title,title_translated,url,volume,date_accessed
ART,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,artist,N/A,N/A,size_or_length,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,size,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,description,title_short,N/A,N/A,N/A,author_translated,title,title_translated,url,N/A,date_accessed
BILL,@type,sponsor,N/A,N/A,abstract,author_addr,accession_no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,session,N/A,N/A,keywords,file_attm,figure,language,label,bill_no,N/A,N/A,notes,N/A,history,N/A,year,N/A,research_notes,N/A,code_section,N/A,code_pages,title_short,N/A,code,legislative_body,author_translated,title,title_translated,url,code_volume,date_accessed
BLOG,@type,editor,illustrator,N/A,abstract,author_addr,accession_no,author,author_affiliation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,last_updated,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,N/A,N/A,type,notes,N/A,content,publisher,year,N/A,research_notes,N/A,message_no,isbn,description,title_short,N/A,title,institution,author_translated,entry_title,title_translated,url,access_year,date_accessed
BOOK,@type,series_editor,editor,translator,abstract,author_addr,accession_no,author,N/A,N/A,title_prefix,reviewer,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,series_volume,N/A,type,notes,volumes_count,original_publ,publisher,year,N/A,research_notes,reprint_edition,pages,isbn,pages_count,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,volume,date_accessed
CASE,@type,reporter,higher_court,counsel,abstract,author_addr,accession_no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,N/A,date_decided,db_name,doi,db_provider,action_of_higher_court,N/A,N/A,keywords,file_attm,figure,language,label,N/A,N/A,citation_of_reversal,notes,reporter_abbrev,history,court,year_decided,N/A,research_notes,N/A,date_filed,N/A,page_first,case_name_abbr,N/A,N/A,decision,author_translated,case_name,title_translated,url,reporter_volume,date_accessed
CHAP,@type,editor,series_editor,translator,abstract,author_addr,accession_no,author,section,N/A,title_prefix,reviewer,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,city,N/A,db_name,doi,db_provider,edition,volumes_count,abbreviation,keywords,file_attm,figure,language,label,N/A,N/A,N/A,notes,N/A,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,chapter,isbn,pages,title_short,series_volume,title_book,series_title,author_translated,title,title_translated,url,volume,date_accessed
CHART,@type,file_name,N/A,N/A,abstract,author_addr,accession_no,created_by,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,version,N/A,N/A,keywords,file_attm,figure,language,label,number,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,description,N/A,N/A,source,N/A,author_translated,title,title_translated,url,size,date_accessed
CLSWK,@type,series_editor,N/A,translator,abstract,author_addr,accession_no,attribution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,N/A,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,series_volume,N/A,type,notes,volumes_count,original_publ,publisher,year,N/A,research_notes,reprint_edition,N/A,isbn_issn,pages_count,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,volume,date_accessed
COMP,@type,series_editor,N/A,N/A,abstract,author_addr,accession_no,programmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,N/A,db_name,doi,db_provider,version,N/A,title_alt,keywords,file_attm,figure,language,label,computer,N/A,type,notes,N/A,content,publisher,year,N/A,research_notes,N/A,N/A,isbn,description,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,edition,date_accessed
CONF,@type,editor,series_editor,sponsor,abstract,author_addr,accession_no,author,place_published,year_published,proceedings_title,N/A,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,conf_loc,date,db_name,doi,db_provider,edition,N/A,N/A,keywords,file_attm,figure,language,label,issue,N/A,N/A,notes,volumes_count,N/A,publisher,conf_year,N/A,research_notes,N/A,N/A,isbn,pages,title_short,N/A,conf_name,series_title,author_translated,title,title_translated,url,volume,date_accessed
CPAPER,@type,editor,N/A,N/A,abstract,author_addr,accession_no,author,place_published,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,N/A,N/A,conf_loc,date,db_name,doi,db_provider,N/A,N/A,N/A,keywords,file_attm,figure,language,label,N/A,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,pages,N/A,N/A,conf_name,N/A,author_translated,title,title_translated,url,volume,date_accessed
CTLG,@type,institution,N/A,translator,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,series_volume,N/A,type,notes,catalog_no,original_publ,publisher,year,N/A,research_notes,reprint_edition,pages_count,isbn,pages,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,volume,date_accessed
DATA,@type,producer,N/A,funding_agency,abstract,author_addr,accession_no,investigators,time_period,unit_of_observation,type,dataset,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date_of_collection,db_name,doi,db_provider,version,N/A,abbreviation,keywords,file_attm,figure,language,label,N/A,N/A,N/A,notes,study_no,version_history,distributor,year,geographic_coverage,research_notes,N/A,date_original_release,issn,N/A,title_short,N/A,N/A,series_title,author_translated,title,title_translated,url,N/A,date_accessed
DBASE,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,N/A,N/A,place_published,date_accessed,db_name,doi,db_provider,date_published,N/A,N/A,keywords,file_attm,figure,language,label,N/A,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,N/A,report_no,pages,N/A,N/A,periodical,N/A,author_translated,title,title_translated,url,volume,N/A
DICT,@type,editor,N/A,translator,abstract,author_addr,accession_no,author,term,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,N/A,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,number,N/A,type,notes,volumes_count,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,version,isbn,pages,title_short,N/A,dictionary_title,N/A,author_translated,title,title_translated,url,volume,date_accessed
EBOOK,@type,editor,series_editor,N/A,abstract,author_addr,accession_no,author,year_cited,date_cited,title_prefix,reviewer,last_updated,nihmsid,pmcid,N/A,caption,call_no,N/A,place_published,date_accessed,db_name,doi,db_provider,edition,N/A,N/A,keywords,file_attm,figure,language,label,N/A,N/A,type,notes,version,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,N/A,isbn,pages_count,N/A,N/A,title_secondary,series_title,author_translated,title,title_translated,url,volume,N/A
ECHAP,@type,editor,N/A,N/A,abstract,author_addr,accession_no,author,section,N/A,title_prefix,reviewer,packaging_method,nihmsid,pmcid,N/A,caption,call_no,N/A,place_published,date_accessed,db_name,doi,db_provider,edition,N/A,N/A,keywords,file_attm,figure,language,label,chapter,N/A,type,notes,volumes_count,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,N/A,isbn,pages,title_short,N/A,title_book,series_title,author_translated,title,title_translated,url,volume,date_accessed
EDBOOK,@type,series_editor,N/A,translator,abstract,editor_addr,accession_no,editor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,series_volume,N/A,type,notes,volumes_count,original_publ,publisher,year,N/A,research_notes,reprint_edition,N/A,isbn,pages_count,title_short,N/A,title_secondary,N/A,author_translated,title,title_translated,url,volume,date_accessed
EJOUR,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,year_cited,date_cited,pmcid,reviewer,issue_title,nihmsid,article_no,N/A,caption,N/A,N/A,place_published,date_accessed,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,issue,N/A,type,notes,document_no,N/A,publisher,year,reviewed_item,research_notes,reprint_edition,epub_date,issn,pages,title_short,N/A,periodical,website_title,author_translated,title,title_translated,url,volume,N/A
ELEC,@type,series_editor,N/A,N/A,abstract,author_addr,accession_no,author,year_cited,date_cited,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,last_updated,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,date_accessed,N/A,type,notes,N/A,content,publisher,year,N/A,research_notes,N/A,N/A,isbn,description,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,access_year,N/A
ENCYC,@type,editor,N/A,translator,abstract,author_addr,accession_no,author,term,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,N/A,N/A,N/A,notes,volumes_count,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,N/A,isbn,pages,title_short,N/A,title_ency,N/A,author_translated,title,title_translated,url,volume,date_accessed
EQUA,@type,file_name,N/A,N/A,abstract,author_addr,accession_no,created_by,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,version,N/A,N/A,keywords,file_attm,figure,language,label,number,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,description,N/A,N/A,image_source_program,N/A,author_translated,title,title_translated,url,image_size,date_accessed
FIGURE,@type,file_name,N/A,N/A,abstract,author_addr,accession_no,created_by,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,call_no,caption,city,date,db_name,doi,db_provider,version,N/A,N/A,keywords,file_attm,figure,language,label,number,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,description,N/A,N/A,image_source_program,N/A,author_translated,title,title_translated,url,image_size,date_accessed
GEN,@type,author_secondary,author_tertiary,author_subsidiary,abstract,author_addr,accession_no,author,custom1,custom2,custom3,custom4,custom5,custom6,custom7,custom8,caption,call_no,N/A,place_published,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,number,N/A,type,notes,volumes_count,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,section,isbn_issn,pages,title_short,N/A,title_secondary,title_tertiary,author_translated,title,title_translated,url,Volume,date_accessed
GOVDOC,@type,dept,N/A,N/A,abstract,author_addr,accession_no,author,government_body,congr_no,congr_sess,N/A,N/A,N/A,N/A,N/A,caption,N/A,N/A,city,N/A,db_name,doi,db_provider,edition,N/A,N/A,keywords,file_attm,figure,language,label,issue,N/A,N/A,notes,N/A,N/A,publisher,year,N/A,research_notes,N/A,section,report_no,pages,N/A,N/A,N/A,series_title,author_translated,title,title_translated,url,volume,date_accessed
GRANT,@type,N/A,N/A,translator,abstract,author_addr,accession_no,investigators,contact_name,contact_addr,contact_phone,contact_fax,funding_number,no_cfda,N/A,N/A,caption,call_no,N/A,activity_loc,deadline,db_name,doi,db_provider,requirement,N/A,abbreviation,keywords,file_attm,figure,language,label,status,N/A,type,notes,amount_received,grant_orig_no,sponsor,year,reviewed_item,research_notes,review_date,grant_duration,N/A,pages,title_short,N/A,N/A,N/A,author_translated,title,title_translated,url,amount_requested,date_accessed
HEAR,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,N/A,N/A,congr_no,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,session,N/A,N/A,keywords,file_attm,url,language,label,document_no,N/A,N/A,notes,volumes_count,history,publisher,year,N/A,research_notes,N/A,N/A,isbn,pages,title_short,N/A,committee,legislative_body,author_translated,title,title_translated,url,N/A,date_accessed
ICOMM,@type,recipient,N/A,N/A,abstract,author_addr,accession_no,author,email_sender,email_recipient,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,description,N/A,abbreviation,keywords,file_attm,figure,language,label,folio_no,N/A,type,notes,comm_no,N/A,publisher,year,N/A,research_notes,N/A,N/A,N/A,pages,title_short,N/A,N/A,N/A,author_translated,title,title_translated,url,N/A,date_accessed
INPR,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,legal_note,pmcid,N/A,N/A,N/A,nihmsid,article_no,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,epub_date,issue,journal_alt,keywords,file_attm,figure,language,label,N/A,page_start,type,notes,N/A,original_publ,N/A,year,reviewed_item,research_notes,reprint_edition,N/A,issn,pages,title_short,N/A,journal,N/A,author_translated,title,title_translated,url,volume,date_accessed
JFULL,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,legal_note,pmcid,N/A,N/A,N/A,nihmsid,article_no,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,epub_date,issue,journal_alt,keywords,file_attm,figure,language,label,N/A,page_start,type,notes,N/A,original_publ,N/A,year,reviewed_item,research_notes,reprint_edition,N/A,issn,pages,title_short,N/A,journal,N/A,author_translated,title,title_translated,url,volume,date_accessed
JOUR,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,legal_note,pmcid,N/A,N/A,N/A,nihmsid,article_no,N/A,caption,call_no,N/A,N/A,date,db_name,doi,db_provider,epub_date,issue,journal_alt,keywords,file_attm,figure,language,label,N/A,page_start,type,notes,N/A,original_publ,N/A,year,reviewed_item,research_notes,reprint_edition,N/A,issn,pages,title_short,N/A,journal,N/A,author_translated,title,title_translated,url,volume,date_accessed
LEGAL,@type,issuing_org,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,place_published,date_code_ed,db_name,doi,db_provider,edition,N/A,abbreviation,keywords,file_attm,figure,language,label,page_start,N/A,type,notes,session_no,history,publisher,year,N/A,research_notes,N/A,section_no,document_no,pages,N/A,N/A,title_no,supplement_no,author_translated,title,title_translated,url,rule_no,date_accessed
MANSCPT,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,descr_material,N/A,abbreviation,keywords,file_attm,figure,language,label,folio_no,N/A,type,notes,manuscript_no,N/A,library_or_archive,year,N/A,research_notes,reprint_edition,page_start,N/A,pages,title_short,N/A,coll_title,N/A,author_translated,title,title_translated,url,volume_or_container,date_accessed
MAP,@type,series_editor,N/A,N/A,abstract,author_addr,accession_no,cartographer,scale,area,size,N/A,packaging_method,N/A,N/A,N/A,caption,call_no,N/A,city,date,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,N/A,N/A,type,notes,N/A,N/A,publisher,year,N/A,research_notes,reprint_edition,N/A,isbn,description,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,N/A,date_accessed
MGZN,@type,N/A,N/A,N/A,abstract,author_addr,accession_no,author,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,caption,call_no,N/A,place_published,date,db_name,doi,db_provider,edition,N/A,mag_alt,keywords,file_attm,figure,language,label,issue_no,N/A,type,notes,frequency,original_publ,publisher,year,reviewed_item,research_notes,reprint_edition,page_start,issn,pages,title_short,N/A,magazine,N/A,author_translated,title,title_translated,url,volume,date_accessed
MPCT,@type,series_director,producer,performers,synopsis,author_addr,accession_no,director,cast,credits,N/A,genre,format,N/A,N/A,N/A,caption,call_no,N/A,country,date_released,db_name,doi,db_provider,edition,N/A,title_alt,keywords,file_attm,figure,language,label,N/A,N/A,medium,notes,N/A,N/A,distributor,year_released,N/A,research_notes,N/A,N/A,N/A,running_time,title_short,N/A,series_title,N/A,author_translated,title,title_translated,url,N/A,date_accessed
MULTI,@type,series_editor,N/A,N/A,abstract,author_addr,accession_no,created_by,year_cited,date_cited,N/A,N/A,format_length,N/A,N/A,N/A,caption,N/A,N/A,N/A,date_accessed,db_name,doi,db_provider,N/A,N/A,N/A,keywords,file_attm,figure,language,label,screens_count,N/A,type,notes,N/A,N/A,distributor,year,N/A,research_notes,N/A,N/A,N/A,N/A,N/A,N/A,series_title,N/A,author_translated,title,title_translated,url,N/A,N/A
