"Field","ABST","ADVS","AGGR","ANCIENT","ART","BILL","BLOG","BOOK","CASE","CHAP","CHART","CLSWK","COMP","CONF","CPAPER","CTLG","DATA","DBASE","DICT","EBOOK","ECHAP","EDBOOK","EJOUR","ELEC","ENCYC","EQUA","FIGURE","GEN","GOVDOC","GRANT","HEAR","ICOMM","INPR","JFULL","JOUR","LEGAL","MANSCPT","MAP","MGZN","MPCT","MULTI","MUSIC","NEWS","PAMP","PAT","PCOMM","RPRT","SER","SLIDE","SOUND","STAND","STAT","THES","UNBILL","UNPB","VIDEO"
"A2","N/A","Performers","N/A","Editor","N/A","Sponsor","Editor","Series Editor","Reporter","Editor","Name of File","Series Editor","Series Editor","Editor","Editor","Institution","Producer","N/A","Editor","Editor","Editor","Series Editor","N/A","Series Editor","Editor","Name of File","Name of File","Secondary Author","Department","N/A","N/A","Recipient","N/A","N/A","N/A","Issuing Organization","N/A","Series Editor","N/A","Series Director","Series Editor","Editor","N/A","Institution","Issuing Organization","Recipient","Series Editor","Editor","Performers","Performers","N/A","N/A","N/A","Sponsor","Series Editor","Performers"
"A3","N/A","Series Editor","N/A","N/A","N/A","N/A","Illustrator","Editor","Higher Court","Series Editor","N/A","N/A","N/A","Series Editor","N/A","N/A","N/A","N/A","N/A","Series Editor","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Tertiary Author","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Producer","N/A","Series Editor","N/A","N/A","International Author","N/A","Publisher","Series Editor","Series Editor","Series Editor","N/A","N/A","Advisor","N/A","N/A","Series Editor"
"A4","N/A","N/A","N/A","Translator","N/A","N/A","N/A","Translator","Counsel","Translator","N/A","Translator","N/A","Sponsor","N/A","Translator","Funding Agency","N/A","Translator","N/A","N/A","Translator","N/A","N/A","Translator","N/A","N/A","Subsidiary Author","N/A","Translator","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Performers","N/A","Producer","N/A","Translator","N/A","N/A","Department/Division","Volume Editor","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AB","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Synopsis","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract","Abstract"
"AD","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Editor Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Inventor Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address","Author Address"
"AN","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","Accession Number","N/A","Accession Number"
"AU","Author","Author","Author","Author","Artist","N/A","Author","Author","N/A","Author","Created By","Attribution","Programmer","Author","Author","Author","Investigators","Author","Author","Author","Author","Editor","Author","Author","Author","Created By","Created By","Author","Author","Investigators","N/A","Author","Author","Author","Author","Author","Author","Cartographer","Author","Director","Created By","Composer","Reporter","Author","Inventor","Author","Author","Author","Author","Author","Institution","N/A","Author","N/A","Author","Author"
"C1","Legal Note","Cast","N/A","N/A","N/A","N/A","Author Affiliation","N/A","N/A","Section","N/A","N/A","N/A","Place Published","Place Published","N/A","Time Period","N/A","Term","Year Cited","Section","N/A","Year Cited","Year Cited","Term","N/A","N/A","Custom 1","Government Body","Contact Name","N/A","Sender's E-Mail","Legal Note","Legal Note","Legal Note","N/A","N/A","Scale","N/A","Cast","Year Cited","Format of Music","Column","N/A","N/A","Sender's E-Mail","N/A","Section","Cast","Cast","N/A","N/A","N/A","N/A","N/A","Cast"
"C2","PMCID","Credits","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Year Published","N/A","N/A","Unit of Observation","N/A","N/A","Date Cited","N/A","N/A","Date Cited","Date Cited","N/A","N/A","N/A","Custom 2","Congress Number","Contact Address","Congress Number","Recipients E-Mail","PMCID","PMCID","PMCID","N/A","N/A","Area","N/A","Credits","Date Cited","Form of Composition","Issue","N/A","Issue Date","Recipients E-Mail","N/A","Report Number","Credits","Credits","N/A","N/A","N/A","N/A","N/A","Credits"
"C3","N/A","Size/Length","N/A","N/A","Size/Length","N/A","N/A","Title Prefix","N/A","Title Prefix","N/A","N/A","N/A","Proceedings Title","N/A","N/A","Data Type","N/A","N/A","Title Prefix","Title Prefix","N/A","PMCID","N/A","N/A","N/A","N/A","Custom 3","Congress Session","Contact Phone","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Size","N/A","N/A","N/A","Music Parts","N/A","N/A","Designated States","N/A","N/A","N/A","Size/Length","Size/Length","N/A","N/A","N/A","N/A","N/A","Size/Length"
